Let's begin networking!
 The cnn model with 2 layers are estabished.
It is about the leave-one-out validation method!



******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 18
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 75.86%, 得分： 68.58, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：84.76%, 特异度： 68.1%, 得分： 76.43, 准确度： 76.43%, 用时: 1.07s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 48.28%, 得分： 69.3, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：81.43%, 特异度： 71.75%, 得分： 76.59, 准确度： 76.59%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：87.1%, 特异度： 51.72%, 得分： 69.41, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：66.98%, 特异度： 85.08%, 得分： 76.03, 准确度： 76.03%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：58.06%, 特异度： 82.76%, 得分： 70.41, 准确度： 70.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：75.4%, 特异度： 78.73%, 得分： 77.06, 准确度： 77.06%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 68.97%, 得分： 68.35, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：81.11%, 特异度： 73.97%, 得分： 77.54, 准确度： 77.54%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 55.17%, 得分： 69.52, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.63%, 特异度： 84.6%, 得分： 77.61, 准确度： 77.62%, 用时: 0.98s.
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 72.41%, 得分： 68.47, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.0%, 特异度： 85.4%, 得分： 77.7, 准确度： 77.7%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 75.86%, 得分： 68.58, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：86.98%, 特异度： 66.83%, 得分： 76.91, 准确度： 76.9%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 44.83%, 得分： 69.19, 准确度： 70.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：73.97%, 特异度： 81.9%, 得分： 77.94, 准确度： 77.94%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 65.52%, 得分： 65.02, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：81.9%, 特异度： 73.65%, 得分： 77.78, 准确度： 77.78%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 55.17%, 得分： 74.36, 准确度： 75.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：82.86%, 特异度： 72.86%, 得分： 77.86, 准确度： 77.86%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 51.72%, 得分： 72.63, 准确度： 73.33%, 用时: 0.06s.
The best metric (without restriction) took place in the epoch:  2
Sensitivity: 67.74; Specificity: 93.1; Score: 80.42; Accuracy: 80.0
Training duration: 3.33s
For the loo method, recheck the test set to have it recorded..
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 93.1%, 得分： 80.42, 准确度： 80.0%, 用时: 0.05s.




******************************************************************************************
                                         CNN_2
                                        fold_2
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 17
*[测试结果] 片段识别 train 敏感度：99.68%, 特异度： 5.67%, 得分： 52.68, 准确度： 52.3%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：97.22%, 特异度： 12.5%, 得分： 54.86, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：97.28%, 特异度： 26.93%, 得分： 62.11, 准确度： 61.83%, 用时: 1.41s.
*[测试结果] 片段识别 test 敏感度：88.89%, 特异度： 50.0%, 得分： 69.44, 准确度： 73.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：32.8%, 特异度： 96.06%, 得分： 64.43, 准确度： 64.68%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：19.44%, 特异度： 83.33%, 得分： 51.38, 准确度： 45.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：15.68%, 特异度： 97.95%, 得分： 56.81, 准确度： 57.14%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：5.56%, 特异度： 83.33%, 得分： 44.45, 准确度： 36.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：28.0%, 特异度： 97.17%, 得分： 62.59, 准确度： 62.86%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：16.67%, 特异度： 83.33%, 得分： 50.0, 准确度： 43.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：78.4%, 特异度： 69.29%, 得分： 73.84, 准确度： 73.81%, 用时: 1.2s.
*[测试结果] 片段识别 test 敏感度：58.33%, 特异度： 66.67%, 得分： 62.5, 准确度： 61.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：76.8%, 特异度： 71.02%, 得分： 73.91, 准确度： 73.89%, 用时: 0.94s.
*[测试结果] 片段识别 test 敏感度：58.33%, 特异度： 70.83%, 得分： 64.58, 准确度： 63.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：31.52%, 特异度： 96.54%, 得分： 64.03, 准确度： 64.29%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：16.67%, 特异度： 83.33%, 得分： 50.0, 准确度： 43.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：73.92%, 特异度： 74.96%, 得分： 74.44, 准确度： 74.44%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：47.22%, 特异度： 75.0%, 得分： 61.11, 准确度： 58.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：59.52%, 特异度： 86.61%, 得分： 73.06, 准确度： 73.17%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：41.67%, 特异度： 79.17%, 得分： 60.42, 准确度： 56.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：63.52%, 特异度： 83.94%, 得分： 73.73, 准确度： 73.81%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：38.89%, 特异度： 79.17%, 得分： 59.03, 准确度： 55.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：66.72%, 特异度： 82.68%, 得分： 74.7, 准确度： 74.76%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：41.67%, 特异度： 79.17%, 得分： 60.42, 准确度： 56.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：47.52%, 特异度： 92.6%, 得分： 70.06, 准确度： 70.24%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：25.0%, 特异度： 83.33%, 得分： 54.16, 准确度： 48.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：50.72%, 特异度： 91.65%, 得分： 71.19, 准确度： 71.35%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：30.56%, 特异度： 79.17%, 得分： 54.87, 准确度： 50.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：52.8%, 特异度： 91.02%, 得分： 71.91, 准确度： 72.06%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：33.33%, 特异度： 79.17%, 得分： 56.25, 准确度： 51.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：83.2%, 特异度： 68.03%, 得分： 75.62, 准确度： 75.56%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：61.11%, 特异度： 70.83%, 得分： 65.97, 准确度： 65.0%, 用时: 0.06s.
