Let's begin networking!
 The cnn model with 2 layers are estabished.

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 test 敏感度：71.7%, 特异度： 79.05%, 得分： 75.38, 准确度： 74.62%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：62.35%, 特异度： 86.82%, 得分： 74.58, 准确度： 75.19%, 用时: 0.86s.
*[测试结果] 片段识别 test 敏感度：67.92%, 特异度： 82.86%, 得分： 75.39, 准确度： 73.86%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：50.4%, 特异度： 92.06%, 得分： 71.23, 准确度： 72.25%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：55.35%, 特异度： 90.48%, 得分： 72.92, 准确度： 69.32%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：70.12%, 特异度： 82.85%, 得分： 76.48, 准确度： 76.8%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：73.58%, 特异度： 79.05%, 得分： 76.31, 准确度： 75.76%, 用时: 0.29s.
*[测试结果] 片段识别 train 敏感度：66.53%, 特异度： 86.28%, 得分： 76.41, 准确度： 76.89%, 用时: 1.02s.
*[测试结果] 片段识别 test 敏感度：70.44%, 特异度： 79.05%, 得分： 74.75, 准确度： 73.86%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：72.91%, 特异度： 80.87%, 得分： 76.89, 准确度： 77.08%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：76.1%, 特异度： 76.19%, 得分： 76.14, 准确度： 76.14%, 用时: 0.2s.
*[测试结果] 片段识别 train 敏感度：76.29%, 特异度： 78.52%, 得分： 77.41, 准确度： 77.46%, 用时: 1.07s.
*[测试结果] 片段识别 test 敏感度：79.25%, 特异度： 74.29%, 得分： 76.77, 准确度： 77.27%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：66.33%, 特异度： 86.82%, 得分： 76.57, 准确度： 77.08%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：67.92%, 特异度： 82.86%, 得分： 75.39, 准确度： 73.86%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：76.1%, 特异度： 79.06%, 得分： 77.58, 准确度： 77.65%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：78.62%, 特异度： 75.24%, 得分： 76.93, 准确度： 77.27%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：70.32%, 特异度： 84.84%, 得分： 77.58, 准确度： 77.94%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：73.58%, 特异度： 78.1%, 得分： 75.84, 准确度： 75.38%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：71.12%, 特异度： 83.94%, 得分： 77.53, 准确度： 77.84%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：74.21%, 特异度： 78.1%, 得分： 76.16, 准确度： 75.76%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：69.92%, 特异度： 84.3%, 得分： 77.11, 准确度： 77.46%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：72.96%, 特异度： 79.05%, 得分： 76.0, 准确度： 75.38%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：68.73%, 特异度： 86.1%, 得分： 77.41, 准确度： 77.84%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：72.33%, 特异度： 79.05%, 得分： 75.69, 准确度： 75.0%, 用时: 0.29s.
*[测试结果] 片段识别 train 敏感度：84.26%, 特异度： 67.69%, 得分： 75.97, 准确度： 75.57%, 用时: 1.02s.
*[测试结果] 片段识别 test 敏感度：84.91%, 特异度： 64.76%, 得分： 74.84, 准确度： 76.89%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：70.92%, 特异度： 84.66%, 得分： 77.79, 准确度： 78.12%, 用时: 0.91s.
*[测试结果] 片段识别 test 敏感度：74.21%, 特异度： 79.05%, 得分： 76.63, 准确度： 76.14%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：61.95%, 特异度： 92.06%, 得分： 77.0, 准确度： 77.75%, 用时: 0.95s.
*[测试结果] 片段识别 test 敏感度：65.41%, 特异度： 85.71%, 得分： 75.56, 准确度： 73.48%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：70.92%, 特异度： 84.84%, 得分： 77.88, 准确度： 78.22%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：73.58%, 特异度： 78.1%, 得分： 75.84, 准确度： 75.38%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：78.09%, 特异度： 78.34%, 得分： 78.22, 准确度： 78.22%, 用时: 1.33s.
*[测试结果] 片段识别 test 敏感度：78.62%, 特异度： 70.48%, 得分： 74.55, 准确度： 75.38%, 用时: 0.26s.
The best metric (without restriction) took place in the epoch:  30
Sensitivity: 78.62; Specificity: 75.24; Score: 76.93; Accuracy: 77.27
Training duration: 2.64s

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_2
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 16
*[测试结果] 片段识别 train 敏感度：0.38%, 特异度： 100.0%, 得分： 50.19, 准确度： 50.38%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：0.74%, 特异度： 100.0%, 得分： 50.37, 准确度： 49.24%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：100.0%, 特异度： 1.89%, 得分： 50.95, 准确度： 50.76%, 用时: 1.0s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 3.1%, 得分： 51.55, 准确度： 52.65%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：34.41%, 特异度： 95.09%, 得分： 64.75, 准确度： 64.87%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：39.26%, 特异度： 93.8%, 得分： 66.53, 准确度： 65.91%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：96.77%, 特异度： 26.98%, 得分： 61.88, 准确度： 61.74%, 用时: 0.93s.
*[测试结果] 片段识别 test 敏感度：95.56%, 特异度： 31.01%, 得分： 63.29, 准确度： 64.02%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：44.3%, 特异度： 92.45%, 得分： 68.38, 准确度： 68.47%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：51.11%, 特异度： 89.15%, 得分： 70.13, 准确度： 69.7%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：85.36%, 特异度： 54.15%, 得分： 69.75, 准确度： 69.7%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：88.89%, 特异度： 57.36%, 得分： 73.12, 准确度： 73.48%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：57.41%, 特异度： 87.92%, 得分： 72.66, 准确度： 72.73%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：60.74%, 特异度： 87.6%, 得分： 74.17, 准确度： 73.86%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：76.05%, 特异度： 66.79%, 得分： 71.42, 准确度： 71.4%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：85.93%, 特异度： 68.22%, 得分： 77.08, 准确度： 77.27%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：72.05%, 特异度： 72.83%, 得分： 72.44, 准确度： 72.44%, 用时: 0.97s.
*[测试结果] 片段识别 test 敏感度：79.26%, 特异度： 74.42%, 得分： 76.84, 准确度： 76.89%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：24.52%, 特异度： 97.17%, 得分： 60.84, 准确度： 60.98%, 用时: 0.95s.
*[测试结果] 片段识别 test 敏感度：34.81%, 特异度： 97.67%, 得分： 66.24, 准确度： 65.53%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：87.64%, 特异度： 54.34%, 得分： 70.99, 准确度： 70.93%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：89.63%, 特异度： 58.14%, 得分： 73.88, 准确度： 74.24%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：53.8%, 特异度： 89.43%, 得分： 71.62, 准确度： 71.69%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：55.56%, 特异度： 89.15%, 得分： 72.36, 准确度： 71.97%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：73.0%, 特异度： 72.08%, 得分： 72.54, 准确度： 72.54%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：80.0%, 特异度： 75.19%, 得分： 77.59, 准确度： 77.65%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：53.04%, 特异度： 90.57%, 得分： 71.8, 准确度： 71.88%, 用时: 0.94s.
*[测试结果] 片段识别 test 敏感度：51.85%, 特异度： 90.7%, 得分： 71.28, 准确度： 70.83%, 用时: 0.27s.
