Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 train 敏感度：82.42%, 特异度： 70.79%, 得分： 76.61, 准确度： 76.67%, 用时: 1.11s.
*[测试结果] 片段识别 test 敏感度：67.57%, 特异度： 69.57%, 得分： 68.57, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：63.42%, 特异度： 88.76%, 得分： 76.09, 准确度： 75.95%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：43.24%, 特异度： 78.26%, 得分： 60.75, 准确度： 56.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：81.95%, 特异度： 71.59%, 得分： 76.77, 准确度： 76.83%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：72.97%, 特异度： 65.22%, 得分： 69.09, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：58.71%, 特异度： 91.01%, 得分： 74.86, 准确度： 74.68%, 用时: 1.25s.
*[测试结果] 片段识别 test 敏感度：35.14%, 特异度： 82.61%, 得分： 58.88, 准确度： 53.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：52.43%, 特异度： 92.62%, 得分： 72.53, 准确度： 72.3%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：29.73%, 特异度： 82.61%, 得分： 56.17, 准确度： 50.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：71.9%, 特异度： 85.07%, 得分： 78.48, 准确度： 78.41%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：43.24%, 特异度： 78.26%, 得分： 60.75, 准确度： 56.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：78.96%, 特异度： 76.4%, 得分： 77.68, 准确度： 77.7%, 用时: 1.21s.
